Date,Open,High,Low,Close,Adj_Close,Volume
2019-05-10,5.553000,5.580000,5.516000,5.551000,5.314997,28876698
2019-05-13,5.585000,5.594000,5.483000,5.507000,5.272867,30248268
2019-05-14,5.526000,5.575000,5.490000,5.575000,5.337976,32902239
2019-05-15,5.554000,5.598000,5.510000,5.574000,5.337018,35360824
2019-05-16,5.574000,5.607000,5.548000,5.590000,5.352339,26626819
2019-05-17,5.631000,5.662000,5.581000,5.629000,5.389680,34711336
2019-05-20,5.639000,5.719000,5.631000,5.690000,5.448087,30217861
2019-05-21,5.704000,5.795000,5.680000,5.771000,5.525643,38441312
2019-05-22,5.750000,5.788000,5.730000,5.762000,5.517026,19216107
2019-05-23,5.754000,5.776000,5.666000,5.680000,5.438512,26449963
2019-05-24,5.700000,5.795000,5.682000,5.789000,5.542878,28948451
2019-05-27,5.778000,5.824000,5.734000,5.771000,5.525643,21894811
2019-05-28,5.764000,5.772000,5.709000,5.771000,5.525643,34822225
2019-05-29,5.711000,5.717000,5.619000,5.639000,5.399255,25936220
2019-05-30,5.628000,5.655000,5.526000,5.557000,5.320742,24471917
2019-05-31,5.529000,5.573000,5.476000,5.570000,5.333189,29605704
2019-06-03,5.560000,5.630000,5.544000,5.614000,5.375318,21408802
2019-06-04,5.624000,5.720000,5.605000,5.709000,5.466279,27464020
2019-06-05,5.737000,5.777000,5.678000,5.726000,5.482556,23306422
2019-06-06,5.769000,5.846000,5.746000,5.806000,5.559155,27360696
2019-06-07,5.806000,5.938000,5.793000,5.891000,5.640541,30024324
2019-06-10,5.895000,5.900000,5.800000,5.828000,5.580220,18491042
2019-06-11,5.815000,5.873000,5.803000,5.848000,5.599370,20431988
2019-06-12,5.848000,5.913000,5.827000,5.890000,5.639584,22823033
2019-06-13,5.945000,5.997000,5.907000,5.991000,5.736290,35580696
2019-06-14,5.982000,6.075000,5.974000,6.070000,5.811932,26518155
2019-06-17,6.080000,6.092000,6.052000,6.080000,5.821506,22952429
2019-06-18,6.093000,6.339000,6.071000,6.237000,5.971831,51692546
2019-06-19,6.230000,6.230000,6.127000,6.170000,5.907680,32014373
2019-06-20,6.228000,6.254000,6.161000,6.190000,5.926829,30410677
2019-06-21,6.190000,6.237000,6.171000,6.232000,5.967043,59611230
2019-06-24,6.220000,6.265000,6.188000,6.225000,5.960341,24225507
2019-06-25,6.220000,6.257000,6.190000,6.201000,5.937362,19571649
2019-06-26,6.199000,6.199000,6.075000,6.075000,5.816719,30049057
2019-06-27,6.076000,6.106000,6.030000,6.084000,5.825336,20464685
2019-06-28,6.088000,6.156000,6.045000,6.140000,5.878955,28030903
2019-07-01,6.191000,6.192000,6.056000,6.126000,5.865550,24135859
2019-07-02,6.128000,6.266000,6.124000,6.260000,5.993854,29405744
2019-07-03,6.294000,6.413000,6.286000,6.408000,6.135561,43000790
2019-07-04,6.406000,6.454000,6.370000,6.447000,6.172903,24296129
2019-07-05,6.438000,6.485000,6.377000,6.400000,6.127901,25272739
2019-07-08,6.407000,6.434000,6.365000,6.410000,6.137475,19367692
2019-07-09,6.410000,6.468000,6.388000,6.409000,6.136518,23020992
2019-07-10,6.400000,6.473000,6.369000,6.426000,6.152795,27857731
2019-07-11,6.471000,6.537000,6.446000,6.510000,6.233224,28924495
2019-07-12,6.520000,6.520000,6.444000,6.451000,6.176733,22195776
2019-07-15,6.469000,6.520000,6.453000,6.492000,6.215990,18687282
2019-07-16,6.476000,6.493000,6.431000,6.451000,6.176733,25413428
2019-07-17,6.480000,6.552000,6.460000,6.513000,6.236097,23880561
2019-07-18,6.495000,6.624000,6.490000,6.559000,6.280141,43360608
2019-07-19,6.574000,6.586000,6.288000,6.288000,6.020663,56967866
2019-07-22,6.220000,6.273000,6.156000,6.273000,6.143074,33546117
2019-07-23,6.281000,6.295000,6.213000,6.274000,6.144053,21261571
2019-07-24,6.254000,6.342000,6.254000,6.330000,6.198893,25174382
2019-07-25,6.333000,6.420000,6.216000,6.247000,6.117613,27474321
2019-07-26,6.278000,6.278000,6.201000,6.210000,6.081379,23607629
2019-07-29,6.207000,6.274000,6.195000,6.246000,6.116633,15727468
2019-07-30,6.271000,6.271000,6.146000,6.169000,6.041228,25286121
2019-07-31,6.150000,6.199000,6.107000,6.199000,6.070606,26898980
2019-08-01,6.156000,6.249000,6.140000,6.240000,6.110757,22848725
2019-08-02,6.150000,6.278000,6.130000,6.198000,6.069627,41425801
2019-08-05,6.198000,6.246000,6.085000,6.124000,5.997160,27976457
2019-08-06,6.117000,6.187000,6.104000,6.134000,6.006953,27614127
2019-08-07,6.126000,6.184000,6.095000,6.134000,6.006953,23219820
2019-08-08,6.171000,6.187000,6.107000,6.140000,6.012828,38764226
2019-08-09,6.082000,6.100000,6.000000,6.036000,5.910983,28237281
2019-08-12,6.036000,6.126000,5.997000,6.064000,5.938403,20076002
2019-08-13,6.050000,6.093000,6.008000,6.078000,5.952113,26703615
2019-08-14,6.088000,6.114000,5.957000,6.009000,5.884542,28778859
2019-08-16,6.064000,6.297000,6.040000,6.285000,6.154825,47884878
2019-08-19,6.295000,6.359000,6.262000,6.359000,6.227293,22937572
2019-08-20,6.365000,6.380000,6.229000,6.236000,6.106840,25126091
2019-08-21,6.263000,6.336000,6.251000,6.318000,6.187142,18768481
2019-08-22,6.321000,6.408000,6.282000,6.284000,6.153846,23662254
2019-08-23,6.321000,6.339000,6.223000,6.223000,6.094110,20752118
2019-08-26,6.240000,6.330000,6.221000,6.330000,6.198893,16380643
2019-08-27,6.350000,6.499000,6.341000,6.499000,6.364393,36321901
2019-08-28,6.500000,6.535000,6.445000,6.501000,6.366352,33353160
2019-08-29,6.501000,6.641000,6.500000,6.632000,6.494638,32688344
2019-08-30,6.613000,6.708000,6.589000,6.594000,6.457425,29090403
2019-09-02,6.591000,6.680000,6.590000,6.680000,6.541644,16227667
2019-09-03,6.621000,6.683000,6.604000,6.681000,6.542624,21960060
2019-09-04,6.721000,6.763000,6.714000,6.738000,6.598443,27911249
2019-09-05,6.756000,6.759000,6.632000,6.665000,6.526955,27299556
2019-09-06,6.677000,6.683000,6.568000,6.620000,6.482887,27178783
2019-09-09,6.610000,6.628000,6.491000,6.545000,6.409441,23023616
2019-09-10,6.512000,6.527000,6.458000,6.490000,6.355579,25045465
2019-09-11,6.503000,6.509000,6.415000,6.442000,6.308573,31951719
2019-09-12,6.496000,6.673000,6.462000,6.613000,6.476032,37119639
2019-09-13,6.598000,6.628000,6.532000,6.592000,6.455467,23816821
2019-09-16,6.545000,6.577000,6.482000,6.482000,6.347745,31644203
2019-09-17,6.506000,6.565000,6.480000,6.517000,6.382020,22399769
2019-09-18,6.510000,6.672000,6.506000,6.650000,6.512266,32501861
2019-09-19,6.675000,6.681000,6.593000,6.615000,6.477990,25914770
2019-09-20,6.688000,6.752000,6.576000,6.576000,6.439798,84025996
2019-09-23,6.648000,6.694000,6.613000,6.671000,6.532831,29868014
2019-09-24,6.682000,6.779000,6.650000,6.768000,6.627821,31014677
2019-09-25,6.734000,6.774000,6.692000,6.730000,6.590609,24195268
2019-09-26,6.731000,6.856000,6.722000,6.832000,6.690495,29796229
2019-09-27,6.865000,6.880000,6.735000,6.786000,6.645448,23190787
2019-09-30,6.778000,6.874000,6.741000,6.851000,6.709102,28437305
2019-10-01,6.875000,6.909000,6.805000,6.817000,6.675807,22621355
2019-10-02,6.826000,6.830000,6.669000,6.669000,6.530872,31061983
2019-10-03,6.669000,6.717000,6.617000,6.639000,6.501493,22987551
2019-10-04,6.631000,6.782000,6.580000,6.754000,6.614111,25738037
2019-10-07,6.773000,6.845000,6.758000,6.845000,6.703227,19911440
2019-10-08,6.850000,6.878000,6.772000,6.772000,6.631739,19247630
2019-10-09,6.772000,6.849000,6.754000,6.815000,6.673848,19264930
2019-10-10,6.815000,6.820000,6.723000,6.767000,6.626842,22408473
2019-10-11,6.786000,6.800000,6.704000,6.800000,6.659159,27076925
2019-10-14,6.797000,6.832000,6.763000,6.779000,6.638594,15985797
2019-10-15,6.827000,6.868000,6.812000,6.838000,6.696372,26892425
2019-10-16,6.855000,6.860000,6.793000,6.805000,6.664055,25066407
2019-10-17,6.799000,6.849000,6.766000,6.770000,6.629780,23668523
2019-10-18,6.820000,6.822000,6.719000,6.768000,6.627821,24396789
2019-10-21,6.789000,6.829000,6.690000,6.828000,6.686579,25243087
2019-10-22,6.813000,6.854000,6.747000,6.838000,6.696372,22526375
2019-10-23,6.838000,6.855000,6.722000,6.745000,6.605298,25468841
2019-10-24,6.749000,6.862000,6.740000,6.853000,6.711061,25530615
2019-10-25,6.858000,6.880000,6.823000,6.880000,6.737502,15166939
2019-10-28,6.850000,6.894000,6.825000,6.864000,6.721833,16193248
2019-10-29,6.857000,6.887000,6.827000,6.872000,6.729668,21109527
2019-10-30,6.861000,6.903000,6.831000,6.903000,6.760025,19845795
